Anzeige-Name der Einheit,Ort,Bruttoleistung der Einheit,Alter (Jahre)
Windpark_Hottelstedt_WEA_3,Ballstedt,1300.0,26.0
Windpark_Hottelstedt_WEA_4,Ballstedt,1300.0,26.0
Menteroda-F,Menteroda,600.0,24.0
WKA 1 p,Schmölln,600.0,30.0
V 43746-03,Rastenberg,2000.0,13.0
V 43747-04,Rastenberg,2000.0,13.0
V 43748-05,Ostramondra,2000.0,13.0
V 43749-06,Ostramondra,2000.0,13.0
V 43750-07,Buttstädt,2000.0,13.0
V 43751-08,Buttstädt,2000.0,13.0
V 43752-09,Buttstädt,2000.0,13.0
V 43753-10,Buttstädt,2000.0,13.0
V 43754-11,Rastenberg,2000.0,13.0
V 43755-12,Ostramondra,2000.0,13.0
V 202167-13,Rastenberg,3075.0,13.0
V 202168-14,Ostramondra,3075.0,13.0
V 202169-15,Buttstädt,3075.0,13.0
V 43744-01,Rastenberg,2000.0,12.0
V 43745-02,Rastenberg,2000.0,12.0
WKA 2 p,Schmölln,600.0,30.0
Kirchheilingen 54,Kirchheilingen,2300.0,12.0
Windpark Mihla M2,Mihla,3050.0,11.0
Windpark Mihla M3,Mihla,3050.0,11.0
Windpark Mihla M4,Mihla,3050.0,11.0
Windpark Mihla M6,Mihla,3050.0,11.0
Windpark Mihla M1,Mihla,3050.0,11.0
WEA Forstwolfersdorf,Harth-Pöllnitz,1500.0,23.0
WEA1 (Seriennummer 44469),Teutleben,3075.0,13.0
WEA2 (Seriennummer 44470),Teutleben,3075.0,13.0
WEA3 (Seriennummer 44471),Teutleben,3075.0,13.0
WEA4 (Seriennummer 44472),Teutleben,3075.0,13.0
WEA5 (Seriennummer 44473),Teutleben,3075.0,13.0
WEA E-40 Heukewalde,Heukewalde,500.0,31.0
ABR999703405789,Unterbreizbach,2000.0,17.0
ABR940034033080,Krayenberggemeinde,2000.0,16.0
ABR930429002609,Krayenberggemeinde,2000.0,16.0
WEA 1,Mehna,1500.0,22.0
WEA 6,Ponitz,2050.0,15.0
WEA 7,Ponitz,2050.0,15.0
WEA 8,Ponitz,2050.0,15.0
WEA 9,Ponitz,2050.0,15.0
WEA10,Ponitz,2050.0,15.0
25000,Vacha,2000.0,20.0
HR12,Hörselberg-Hainich,1500.0,14.0
HR13,Hörselberg-Hainich,1500.0,14.0
HR10,Hörselberg-Hainich,1500.0,14.0
Tanna 2,Tanna,2350.0,12.0
HR06,Krauthausen,800.0,21.0
OL 11,Buttstädt,3075.0,12.0
MHL01_0116,Eisenach,2500.0,12.0
WEA 1,Frauenprießnitz,750.0,25.0
WEA 2,Frauenprießnitz,750.0,25.0
AN-1300-136-01,Schwabhausen,1300.0,26.0
AN-1300-186-02,Schwabhausen,1300.0,26.0
AN-1300-178-03,Schwabhausen,1300.0,26.0
AN-1300-187-04,Schwabhausen,1300.0,26.0
WEA 5,Starkenberg,2300.0,13.0
"Windpark Kraasa WEA 3, 825639",Starkenberg,2300.0,13.0
"Windpark Kraasa WEA 4, 825640",Starkenberg,2300.0,13.0
HR07,Hörselberg-Hainich,600.0,27.0
HR15,Hörselberg-Hainich,600.0,27.0
HR16,Hörselberg-Hainich,600.0,27.0
HR17,Hörselberg-Hainich,600.0,27.0
TR824940,Rudolstadt,2300.0,14.0
TR824939,Rudolstadt,2300.0,14.0
WEA 10,Bucha,2500.0,14.0
WEA-HEISS 01,Olbersleben,2350.0,12.0
825847,Sondershausen,2300.0,12.0
WKA 6,Reinholterode,2300.0,15.0
WKA 5,Reinholterode,1800.0,23.0
OL 10,Buttstädt,3075.0,13.0
