"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE980024664627";"WKA 1 p";"In Betrieb";"22.10.1996";"28.5.2019";"Wind";"600";"600";"04626";"Schmölln";"(natürliche Person)";"ABR948825011958";"15.3.2022"
"SEE986470739292";"V 43746-03";"In Betrieb";"30.12.2013";"28.5.2019";"Wind";"2000";"2000";"99636";"Rastenberg";"Windpark Rastenberg GmbH & Co. KG";"ABR927981197324";"20.11.2024"
"SEE996990630375";"V 43747-04";"In Betrieb";"30.12.2013";"28.5.2019";"Wind";"2000";"2000";"99636";"Rastenberg";"Windpark Rastenberg GmbH & Co. KG";"ABR927981197324";"20.11.2024"
"SEE961048072025";"V 43748-05";"In Betrieb";"28.12.2013";"28.5.2019";"Wind";"2000";"2000";"99636";"Ostramondra";"Windpark Rastenberg GmbH & Co. KG";"ABR927981197324";"20.11.2024"
"SEE913006207536";"V 43749-06";"In Betrieb";"28.12.2013";"28.5.2019";"Wind";"2000";"2000";"99636";"Ostramondra";"Windpark Rastenberg GmbH & Co. KG";"ABR927981197324";"20.11.2024"
"SEE950432686542";"V 43750-07";"In Betrieb";"20.12.2013";"28.5.2019";"Wind";"2000";"2000";"99628";"Buttstädt";"Windpark Rastenberg GmbH & Co. KG";"ABR927981197324";"20.11.2024"
"SEE939198208649";"V 43751-08";"In Betrieb";"19.12.2013";"28.5.2019";"Wind";"2000";"2000";"99628";"Buttstädt";"Windpark Rastenberg GmbH & Co. KG";"ABR927981197324";"20.11.2024"
"SEE952766217546";"V 43752-09";"In Betrieb";"28.12.2013";"28.5.2019";"Wind";"2000";"2000";"99628";"Buttstädt";"Windpark Rastenberg GmbH & Co. KG";"ABR927981197324";"20.11.2024"
"SEE907813084206";"V 43753-10";"In Betrieb";"27.12.2013";"28.5.2019";"Wind";"2000";"2000";"99628";"Buttstädt";"Windpark Rastenberg GmbH & Co. KG";"ABR927981197324";"20.11.2024"
"SEE957276197623";"V 43754-11";"In Betrieb";"30.12.2013";"28.5.2019";"Wind";"2000";"2000";"99636";"Rastenberg";"Windpark Rastenberg GmbH & Co. KG";"ABR927981197324";"20.11.2024"
"SEE994609246092";"V 43755-12";"In Betrieb";"19.12.2013";"28.5.2019";"Wind";"2000";"2000";"99636";"Ostramondra";"Windpark Rastenberg GmbH & Co. KG";"ABR927981197324";"20.11.2024"
"SEE926245467425";"V 202167-13";"In Betrieb";"19.12.2013";"28.5.2019";"Wind";"3075";"3075";"99636";"Rastenberg";"Windpark Rastenberg GmbH & Co. KG";"ABR927981197324";"20.11.2024"
"SEE950449475573";"V 202168-14";"In Betrieb";"19.12.2013";"28.5.2019";"Wind";"3075";"3075";"99636";"Ostramondra";"Windpark Rastenberg GmbH & Co. KG";"ABR927981197324";"20.11.2024"
"SEE930260010276";"V 202169-15";"In Betrieb";"19.12.2013";"28.5.2019";"Wind";"3075";"3075";"99628";"Buttstädt";"Windpark Rastenberg GmbH & Co. KG";"ABR927981197324";"20.11.2024"
"SEE993943150560";"V 43744-01";"In Betrieb";"10.3.2014";"28.5.2019";"Wind";"2000";"2000";"99636";"Rastenberg";"Windpark Rastenberg GmbH & Co. KG";"ABR927981197324";"20.11.2024"
"SEE988528788047";"V 43745-02";"In Betrieb";"10.3.2014";"28.5.2019";"Wind";"2000";"2000";"99636";"Rastenberg";"Windpark Rastenberg GmbH & Co. KG";"ABR927981197324";"20.11.2024"
